timestamp_ms,trial_num,task,frame,event_type,choice,rt_ms
1778877730012,1,location,gain,fixation_onset,,
1778877732288,1,location,gain,stimulus_onset,,
1778877737301,1,location,gain,prompt_onset,,
1778877737803,1,location,gain,response_onset,,
1778877746247,1,location,gain,response,allow,8441
1778877748250,2,photos,loss,fixation_onset,,
1778877750420,2,photos,loss,stimulus_onset,,
1778877755438,2,photos,loss,prompt_onset,,
1778877755941,2,photos,loss,response_onset,,
1778877756655,2,photos,loss,response,deny,714
1778877758666,3,health_data,loss,fixation_onset,,
1778877760717,3,health_data,loss,stimulus_onset,,
1778877765722,3,health_data,loss,prompt_onset,,
1778877766224,3,health_data,loss,response_onset,,
1778877767591,3,health_data,loss,response,allow,1368
1778877769609,4,microphone,gain,fixation_onset,,
1778877771737,4,microphone,gain,stimulus_onset,,
1778877776748,4,microphone,gain,prompt_onset,,
1778877777248,4,microphone,gain,response_onset,,
1778877777880,4,microphone,gain,response,allow,632
1778877779885,5,health_data,gain,fixation_onset,,
1778877782091,5,health_data,gain,stimulus_onset,,
1778877787098,5,health_data,gain,prompt_onset,,
1778877787605,5,health_data,gain,response_onset,,
1778877788324,5,health_data,gain,response,deny,721
1778877790334,6,photos,neutral,fixation_onset,,
1778877792658,6,photos,neutral,stimulus_onset,,
1778877797674,6,photos,neutral,prompt_onset,,
1778877798189,6,photos,neutral,response_onset,,
1778877798690,6,photos,neutral,response,allow,503
1778877800701,7,contacts,neutral,fixation_onset,,
1778877802263,7,contacts,neutral,stimulus_onset,,
1778877807272,7,contacts,neutral,prompt_onset,,
1778877807789,7,contacts,neutral,response_onset,,
1778877836681,7,contacts,neutral,response,allow,28892
1778877838682,8,location,neutral,fixation_onset,,
1778877840647,8,location,neutral,stimulus_onset,,
1778877845655,8,location,neutral,prompt_onset,,
1778877846155,8,location,neutral,response_onset,,
1778877846808,8,location,neutral,response,deny,653
1778877848823,9,microphone,neutral,fixation_onset,,
1778877851143,9,microphone,neutral,stimulus_onset,,
1778877856160,9,microphone,neutral,prompt_onset,,
1778877856665,9,microphone,neutral,response_onset,,
1778877857153,9,microphone,neutral,response,allow,488
1778877859156,10,camera,gain,fixation_onset,,
1778877861425,10,camera,gain,stimulus_onset,,
1778877866437,10,camera,gain,prompt_onset,,
1778877866943,10,camera,gain,response_onset,,
1778877869613,10,camera,gain,response,allow,2666
1778877871626,11,camera,loss,fixation_onset,,
1778877873204,11,camera,loss,stimulus_onset,,
1778877878222,11,camera,loss,prompt_onset,,
1778877878732,11,camera,loss,response_onset,,
1778877894113,11,camera,loss,response,allow,15381
1778877896120,12,contacts,loss,fixation_onset,,
1778877898383,12,contacts,loss,stimulus_onset,,
1778877903398,12,contacts,loss,prompt_onset,,
1778877903900,12,contacts,loss,response_onset,,
1778877904569,12,contacts,loss,response,deny,670
