timestamp_ms,trial_num,task,frame,event_type,choice,rt_ms
1779219943947,,,,session_start,,
1779219947469,0,practice,attention_check,fixation_onset,,
1779219949597,0,practice,attention_check,stimulus_onset,,
1779219954616,0,practice,attention_check,prompt_onset,,
1779219955122,0,practice,attention_check,response_onset,,
1779219956604,0,practice,attention_check,response,deny,1478
1779219956606,0,practice,attention_check,attention_check,deny,1478
1779219956609,1,location,neutral,fixation_onset,,
1779219958795,1,location,neutral,stimulus_onset,,
1779219963802,1,location,neutral,prompt_onset,,
1779219964307,1,location,neutral,response_onset,,
1779219965546,1,location,neutral,response,allow,1243
1779219967565,2,photos,neutral,fixation_onset,,
1779219969917,2,photos,neutral,stimulus_onset,,
1779219974926,2,photos,neutral,prompt_onset,,
1779219975439,2,photos,neutral,response_onset,,
1779219976998,2,photos,neutral,response,deny,1561
1779219979012,3,health_data,gain,fixation_onset,,
1779219981209,3,health_data,gain,stimulus_onset,,
1779219986225,3,health_data,gain,prompt_onset,,
1779219986742,3,health_data,gain,response_onset,,
1779219987571,3,health_data,gain,response,deny,832
1779219989584,4,microphone,neutral,fixation_onset,,
1779219991372,4,microphone,neutral,stimulus_onset,,
1779219996382,4,microphone,neutral,prompt_onset,,
1779219996893,4,microphone,neutral,response_onset,,
1779219998853,4,microphone,neutral,response,allow,1964
1779220000865,5,health_data,loss,fixation_onset,,
1779220002659,5,health_data,loss,stimulus_onset,,
1779220007664,5,health_data,loss,prompt_onset,,
1779220008175,5,health_data,loss,response_onset,,
1779220010231,5,health_data,loss,response,deny,2058
1779220012240,6,photos,loss,fixation_onset,,
1779220014545,6,photos,loss,stimulus_onset,,
1779220019551,6,photos,loss,prompt_onset,,
1779220020060,6,photos,loss,response_onset,,
1779220021845,6,photos,loss,response,allow,1787
1779220023861,7,contacts,loss,fixation_onset,,
1779220026234,7,contacts,loss,stimulus_onset,,
1779220031244,7,contacts,loss,prompt_onset,,
1779220031745,7,contacts,loss,response_onset,,
1779220032267,7,contacts,loss,response,deny,524
1779220034273,8,location,gain,fixation_onset,,
1779220035835,8,location,gain,stimulus_onset,,
1779220040843,8,location,gain,prompt_onset,,
1779220041344,8,location,gain,response_onset,,
1779220042111,8,location,gain,response,allow,768
1779220044129,9,microphone,gain,fixation_onset,,
1779220046391,9,microphone,gain,stimulus_onset,,
1779220051400,9,microphone,gain,prompt_onset,,
1779220051912,9,microphone,gain,response_onset,,
1779220054705,9,microphone,gain,response,deny,2795
1779220056709,10,camera,loss,fixation_onset,,
1779220059213,10,camera,loss,stimulus_onset,,
1779220064227,10,camera,loss,prompt_onset,,
1779220064730,10,camera,loss,response_onset,,
1779220069627,10,camera,loss,response,deny,4901
1779220071642,11,camera,gain,fixation_onset,,
1779220073777,11,camera,gain,stimulus_onset,,
1779220078790,11,camera,gain,prompt_onset,,
1779220079294,11,camera,gain,response_onset,,
1779220091075,11,camera,gain,response,allow,11781
1779220093084,12,contacts,neutral,fixation_onset,,
1779220095279,12,contacts,neutral,stimulus_onset,,
1779220100280,12,contacts,neutral,prompt_onset,,
1779220100780,12,contacts,neutral,response_onset,,
1779220106482,12,contacts,neutral,response,deny,5703
1779220108507,,,,session_end,,
