timestamp_ms,trial_num,task,frame,event_type,choice,rt_ms
1779306895447,,,,session_start,,
1779306939713,0,practice,attention_check,fixation_onset,,
1779306941635,0,practice,attention_check,stimulus_onset,,
1779306946650,0,practice,attention_check,prompt_onset,,
1779306947168,0,practice,attention_check,response_onset,,
1779306969462,0,practice,attention_check,response,deny,22283
1779306969464,0,practice,attention_check,attention_check,deny,22283
1779306969467,1,location,gain,fixation_onset,,
1779306971024,1,location,gain,stimulus_onset,,
1779306976029,1,location,gain,prompt_onset,,
1779306976542,1,location,gain,response_onset,,
1779306977424,1,location,gain,response,deny,885
1779306979434,2,camera,loss,fixation_onset,,
1779306981085,2,camera,loss,stimulus_onset,,
1779306986089,2,camera,loss,prompt_onset,,
1779306986593,2,camera,loss,response_onset,,
1779306987158,2,camera,loss,response,deny,568
1779306989165,3,health_data,loss,fixation_onset,,
1779306991056,3,health_data,loss,stimulus_onset,,
1779306996059,3,health_data,loss,prompt_onset,,
1779306996575,3,health_data,loss,response_onset,,
1779306997181,3,health_data,loss,response,deny,607
1779306999185,4,contacts,neutral,fixation_onset,,
1779307001538,4,contacts,neutral,stimulus_onset,,
1779307006542,4,contacts,neutral,prompt_onset,,
1779307007060,4,contacts,neutral,response_onset,,
1779307007854,4,contacts,neutral,response,deny,796
1779307009863,5,health_data,neutral,fixation_onset,,
1779307011615,5,health_data,neutral,stimulus_onset,,
1779307016630,5,health_data,neutral,prompt_onset,,
1779307017143,5,health_data,neutral,response_onset,,
1779307017612,5,health_data,neutral,response,deny,470
1779307019617,6,microphone,gain,fixation_onset,,
1779307021214,6,microphone,gain,stimulus_onset,,
1779307026227,6,microphone,gain,prompt_onset,,
1779307026744,6,microphone,gain,response_onset,,
1779307027924,6,microphone,gain,response,deny,1182
1779307029934,7,contacts,gain,fixation_onset,,
1779307031484,7,contacts,gain,stimulus_onset,,
1779307036491,7,contacts,gain,prompt_onset,,
1779307036993,7,contacts,gain,response_onset,,
1779307037438,7,contacts,gain,response,deny,444
1779307039449,8,camera,neutral,fixation_onset,,
1779307041255,8,camera,neutral,stimulus_onset,,
1779307046273,8,camera,neutral,prompt_onset,,
1779307046775,8,camera,neutral,response_onset,,
1779307047397,8,camera,neutral,response,deny,624
1779307049403,9,microphone,loss,fixation_onset,,
1779307051208,9,microphone,loss,stimulus_onset,,
1779307056218,9,microphone,loss,prompt_onset,,
1779307056728,9,microphone,loss,response_onset,,
1779307057256,9,microphone,loss,response,allow,531
1779307059268,10,photos,neutral,fixation_onset,,
1779307061102,10,photos,neutral,stimulus_onset,,
1779307066120,10,photos,neutral,prompt_onset,,
1779307066628,10,photos,neutral,response_onset,,
1779307067043,10,photos,neutral,response,deny,417
1779307069062,11,location,loss,fixation_onset,,
1779307071277,11,location,loss,stimulus_onset,,
1779307076289,11,location,loss,prompt_onset,,
1779307076795,11,location,loss,response_onset,,
1779307077246,11,location,loss,response,deny,453
1779307079254,12,photos,gain,fixation_onset,,
1779307080834,12,photos,gain,stimulus_onset,,
1779307085843,12,photos,gain,prompt_onset,,
1779307086344,12,photos,gain,response_onset,,
1779307086873,12,photos,gain,response,deny,530
1779307088889,,,,session_end,,
