timestamp_ms,trial_num,task,frame,event_type,choice,rt_ms
1779216799410,,,,session_start,,
1779216808791,0,practice,attention_check,fixation_onset,,
1779216811263,0,practice,attention_check,stimulus_onset,,
1779216817256,0,practice,attention_check,prompt_onset,,
1779216818264,0,practice,attention_check,response_onset,,
1779217079708,,,,session_start,,
1779217085898,0,practice,attention_check,fixation_onset,,
1779217088378,0,practice,attention_check,stimulus_onset,,
1779217093381,0,practice,attention_check,prompt_onset,,
1779217093887,0,practice,attention_check,response_onset,,
1779217286600,0,practice,attention_check,response,allow,192710
1779217286602,0,practice,attention_check,attention_check,allow,192710
1779217288540,0,practice,attention_check,fixation_onset,,
1779217290368,0,practice,attention_check,stimulus_onset,,
1779217295369,0,practice,attention_check,prompt_onset,,
1779217295886,0,practice,attention_check,response_onset,,
1779217297804,0,practice,attention_check,response,deny,1910
1779217297808,0,practice,attention_check,attention_check,deny,1910
1779217297810,1,location,neutral,fixation_onset,,
1779217299368,1,location,neutral,stimulus_onset,,
1779217304379,1,location,neutral,prompt_onset,,
1779217304886,1,location,neutral,response_onset,,
1779217305756,1,location,neutral,response,allow,872
1779217307774,2,health_data,gain,fixation_onset,,
1779217309618,2,health_data,gain,stimulus_onset,,
1779217314623,2,health_data,gain,prompt_onset,,
1779217315136,2,health_data,gain,response_onset,,
1779217315544,2,health_data,gain,response,allow,409
1779217317558,3,contacts,loss,fixation_onset,,
1779217319611,3,contacts,loss,stimulus_onset,,
